,precision,recall
0,0.4702174598172077,1.0
1,0.47019360648356595,0.9999042512447338
2,0.4702147777927867,0.9999042512447338
3,0.4702359510086455,0.9999042512447338
4,0.4702571261314,0.9999042512447338
5,0.47027830316130775,0.9999042512447338
6,0.47029948209862643,0.9999042512447338
7,0.47032066294361374,0.9999042512447338
8,0.4703418456965275,0.9999042512447338
9,0.47036303035762544,0.9999042512447338
10,0.4703842169271654,0.9999042512447338
11,0.47040540540540543,0.9999042512447338
12,0.47042659579260326,0.9999042512447338
13,0.47044778808901705,0.9999042512447338
14,0.4704689822949047,0.9999042512447338
15,0.47049017841052443,0.9999042512447338
16,0.4705113764361343,0.9999042512447338
17,0.4705325763719924,0.9999042512447338
18,0.47055377821835714,0.9999042512447338
19,0.47057498197548664,0.9999042512447338
20,0.4705961876436393,0.9999042512447338
21,0.47061739522307344,0.9999042512447338
22,0.4706386047140475,0.9999042512447338
23,0.4706598161168199,0.9999042512447338
24,0.4706810294316492,0.9999042512447338
25,0.47070224465879384,0.9999042512447338
26,0.4707234617985125,0.9999042512447338
27,0.47074468085106386,0.9999042512447338
28,0.47076590181670647,0.9999042512447338
29,0.4707871246956992,0.9999042512447338
30,0.4708083494883008,0.9999042512447338
31,0.47082957619477006,0.9999042512447338
32,0.4708508048153659,0.9999042512447338
33,0.4708720353503472,0.9999042512447338
34,0.4708932677999729,0.9999042512447338
35,0.47091450216450215,0.9999042512447338
36,0.4709357384441939,0.9999042512447338
37,0.4709569766393073,0.9999042512447338
38,0.4709782167501015,0.9999042512447338
39,0.47099945877683563,0.9999042512447338
40,0.4710207027197691,0.9999042512447338
41,0.47104194857916104,0.9999042512447338
42,0.4710631963552709,0.9999042512447338
43,0.471084446048358,0.9999042512447338
44,0.4711056976586818,0.9999042512447338
45,0.47112695118650183,0.9999042512447338
46,0.4711482066320776,0.9999042512447338
47,0.47116946399566867,0.9999042512447338
48,0.47119072327753464,0.9999042512447338
49,0.4712119844779352,0.9999042512447338
50,0.4712332475971301,0.9999042512447338
51,0.47125451263537904,0.9999042512447338
52,0.4712757795929419,0.9999042512447338
53,0.47129704847007853,0.9999042512447338
54,0.4713183192670488,0.9999042512447338
55,0.4713395919841127,0.9999042512447338
56,0.47136086662153015,0.9999042512447338
57,0.47138214317956123,0.9999042512447338
58,0.4714034216584661,0.9999042512447338
59,0.4714247020585049,0.9999042512447338
60,0.4714459843799377,0.9999042512447338
61,0.47146726862302485,0.9999042512447338
62,0.47148855478802654,0.9999042512447338
63,0.4715098428752032,0.9999042512447338
64,0.4715311328848151,0.9999042512447338
65,0.47155242481712273,0.9999042512447338
66,0.47157371867238657,0.9999042512447338
67,0.47159501445086704,0.9999042512447338
68,0.47161631215282485,0.9999042512447338
69,0.4716376117785205,0.9999042512447338
70,0.47165891332821464,0.9999042512447338
71,0.47168021680216804,0.9999042512447338
72,0.4717015222006414,0.9999042512447338
73,0.47172282952389555,0.9999042512447338
74,0.47174413877219135,0.9999042512447338
75,0.47176544994578967,0.9999042512447338
76,0.47178676304495143,0.9999042512447338
77,0.47180807806993763,0.9999042512447338
78,0.47182939502100935,0.9999042512447338
79,0.47185071389842764,0.9999042512447338
80,0.4718720347024536,0.9999042512447338
81,0.47189335743334837,0.9999042512447338
82,0.4719146820913733,0.9999042512447338
83,0.4719360086767896,0.9999042512447338
84,0.47195733718985855,0.9999042512447338
85,0.47197866763084156,0.9999042512447338
86,0.472,0.9999042512447338
87,0.47202133429759535,0.9999042512447338
88,0.47204267052388915,0.9999042512447338
89,0.47206400867914294,0.9999042512447338
90,0.4720853487636183,0.9999042512447338
91,0.47210669077757683,0.9999042512447338
92,0.47212803472128034,0.9999042512447338
93,0.4721493805949905,0.9999042512447338
94,0.4721707283989691,0.9999042512447338
95,0.472192078133478,0.9999042512447338
96,0.4722134297987791,0.9999042512447338
97,0.4722561389228056,0.9999042512447338
98,0.472277496382055,0.9999042512447338
99,0.47229885577314457,0.9999042512447338
100,0.4723202170963365,0.9999042512447338
101,0.4723415803518929,0.9999042512447338
102,0.472362945540076,0.9999042512447338
103,0.47238431266114805,0.9999042512447338
104,0.4724056817153714,0.9999042512447338
105,0.4724270527030084,0.9999042512447338
106,0.4724484256243214,0.9999042512447338
107,0.47246980047957293,0.9999042512447338
108,0.47249117726902545,0.9999042512447338
109,0.4725125559929415,0.9999042512447338
110,0.4725339366515837,0.9999042512447338
111,0.4725553192452147,0.9999042512447338
112,0.4725767037740972,0.9999042512447338
113,0.4725980902384939,0.9999042512447338
114,0.47261947863866766,0.9999042512447338
115,0.47264086897488117,0.9999042512447338
116,0.47266226124739746,0.9999042512447338
117,0.47268365545647945,0.9999042512447338
118,0.47270505160239,0.9999042512447338
119,0.47272644968539224,0.9999042512447338
120,0.47274784970574923,0.9999042512447338
121,0.472769251663724,0.9999042512447338
122,0.4727906555595799,0.9999042512447338
123,0.47281206139357995,0.9999042512447338
124,0.4728334691659875,0.9999042512447338
125,0.4728548788770659,0.9999042512447338
126,0.4728762905270784,0.9999042512447338
127,0.47289770411628856,0.9999042512447338
128,0.4729191196449597,0.9999042512447338
129,0.4729405371133554,0.9999042512447338
130,0.4729619565217391,0.9999042512447338
131,0.4729833778703746,0.9999042512447338
132,0.4730048011595253,0.9999042512447338
133,0.4730262263894551,0.9999042512447338
134,0.4730476535604276,0.9999042512447338
135,0.4730690826727067,0.9999042512447338
136,0.47309051372655614,0.9999042512447338
137,0.47311194672223983,0.9999042512447338
138,0.4731333816600217,0.9999042512447338
139,0.47315481854016583,0.9999042512447338
