,precision,recall,f1-score,support
Sad,0.9271463301922807,0.9297991093916863,0.9284708249496981,49629.0
accuracy,0.9220394736842106,0.9220394736842106,0.9220394736842106,0.9220394736842106
weighted avg,0.9220219696743588,0.9220394736842106,0.9220284706495154,91200.0
macro avg,0.9215253242117356,0.9212874212374227,0.9214040871736443,91200.0
Happy,0.9159043182311907,0.912775733083159,0.9143373493975905,41571.0
